gene_symbol,Trp53rkb
parameter_id,JAX_OFD_020_001
parameter_name,Distance travelled - total
pvalue,0.9623534
analysis_id,0hs77zlu518k2o3
mouse_strain,C57BL
gene_accession_id,MGI:1914050
mouse_life_stage,Early adult
