gene_symbol,Eprs1
pvalue,0.6133231
gene_accession_id,MGI:97838
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
analysis_id,576495h01xb9x4q
mouse_life_stage,E12.5
parameter_id,IMPC_IMM_004_002
mouse_strain,C57BL
