parameter_name,Embryo turning
gene_symbol,Mecom
gene_accession_id,MGI:95457
parameter_id,IMPC_GEL_011_001
analysis_id,c208oupu0w13p5n
mouse_life_stage,E12.5
pvalue,0.7478569
mouse_strain,C57BL
