gene_symbol,Sfpq
parameter_name,Joints
analysis_id,4pbm58d554h7983
pvalue,0.3112627
parameter_id,IMPC_XRY_027_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1918764
mouse_strain,C57BL
