analysis_id,2lx728dc32t5c6k
mouse_life_stage,Early adult
pvalue,0.3815914
mouse_strain,C57BL
gene_symbol,Snap23
gene_accession_id,MGI:109356
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
parameter_id,MGP_BMI_014_001
