analysis_id,qtr40do292p7783
gene_symbol,Lcn2
pvalue,0.4480263
gene_accession_id,MGI:96757
mouse_strain,C51BL
parameter_id,IMPC_ECG_010_001
mouse_life_stage,Early adult
parameter_name,HRV
