gene_symbol,Fpgs
analysis_id,fei7n76943fs8dv
pvalue,0.9156643
parameter_id,MGP_IMM_022_001
gene_accession_id,MGI:95576
mouse_life_stage,Early adult
parameter_name,KLRG1+ gd T cells - % of gd T cells
mouse_strain,C57BL
