parameter_id,HMGULA_SHI_009_001
analysis_id,820e822q603asn5
gene_accession_id,MGI:1913284
mouse_life_stage,Early adult
gene_symbol,Psmd14
mouse_strain,C57BL
parameter_name,Startle response
pvalue,0.1859326
