gene_symbol,Ap5s1
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
mouse_strain,C57BL
gene_accession_id,MGI:1916846
pvalue,0.1381552
Mouse_life_stage,Early adult
parameter_id,MGP_PBI_030_001
Analysis_id,cl88ti25j47j7o3
