parameter_id,HRWLLA_OFD_010_001
gene_symbol,Dcaf12
parameter_name,Periphery distance travelled
analysis_id,o6du8344g7p55u3
mouse_strain,C57BL
gene_accession_id,MGI:1916220
pvalue,0.7687218
mouse_life_stage,Early adult
