analysis_id,549b39g299b1lxp
parameter_name,DN CD44+CD62L+ NKT cells
parameter_id,IMPC_IMM_047_001
mouse_strain,C57BL
pvalue,0.9331897
gene_symbol,Rnf114
gene_accession_id,MGI:1933159
mouse_life_stage,Early adult
