parameter_name,Creatinine
parameter_id,JAX_URI_002_001
analysis_id,07z6wo0f53le6u6
mouse_life_stage,Early adult
pvalue,0.6345511
mouse_strain,C57BL
gene_accession_id,MGI:1913396
gene_symbol,Maco1
