analysis_id,4v4u3uv506j08ye
gene_symbol,Hspa5
mouse_life_stage,E9.5
gene_accession_id,MGI:95835
parameter_name,Coat - color pattern - back
mouse_strain,C57BL
parameter_id,HRWLLA_CSD_008_001
pvalue,0.2469154
