gene_symbol,Kifap3
mouse_strain,C57BL
pvalue,0.499715
parameter_name,Distance travelled - total
analysis_id,yo3r55sjtp2oooa
parameter_id,JAX_OFD_020_001
mouse_life_stage,Early adult
gene_accession_id,MGI:107566
