analysis_id,o8247j0wt829h70
gene_accession_id,MGI:2385884
mouse_strain,129SV
mouse_life_stage,Early adult
parameter_id,MGP_MLN_076_001
gene_symbol,Ddx27
pvalue,0.6668453
parameter_name,Naive CD8+ T cells - % of CD45+
