parameter_name,Mean corpuscular hemoglobin
mouse_strain,C57BL
pvalue,0.8875873
analysis_id,296563z82p988lt
mouse_life_stage,E9.5
parameter_id,IMPC_HEM_006_001
gene_symbol,Tiprl
gene_accession_id,MGI:1915087
