analysis_id,uio5luz683080ao
gene_accession_id,MGI:1922082
pvalue,0.2767898
gene_symbol,Slc45a3
mouse_strain,C57BL
parameter_name,Resting CD4- NKT cells - % of CD4- NKT cells
mouse_life_stage,Early adult
parameter_id,MGP_IMM_027_001
