analysis_id,i195805bf59e83e
gene_accession_id,MGI:1920638
parameter_name,B cell percentage
pvalue,0.7245967
gene_symbol,Bpifa3
mouse_strain,129SV
mouse_life_stage,Early adult
parameter_id,MGP_PBI_014_001
