analysis_id,120663a52897426
mouse_strain,C57BL
gene_symbol,Sla2
mouse_life_stage,Early adult
parameter_name,Light side time spent
gene_accession_id,MGI:1925049
parameter_id,JAX_LDT_002_001
pvalue,0.3825093
