parameter_id,IMPC_ECG_010_001
parameter_name,HRV
mouse_strain,C57BL
gene_symbol,Fgb
analysis_id,1fg72ofy7668i53
mouse_life_stage,Early adult
gene_accession_id,MGI:99501
pvalue,0.4860992
