parameter_id,HRWLLA_CSD_008_001
gene_accession_id,MGI:88461
mouse_life_stage,Early adult
pvalue,0.2607279
mouse_strain,C57BL
analysis_id,55t751z7j613235
gene_symbol,Col6a3
parameter_name,Coat - color pattern - back
