gene_symbol,Hspa5
mouse_life_stage,Early adult
gene_accession_id,MGI:95835
pvalue,0.5382047
parameter_id,IMPC_IMM_069_001
analysis_id,7pu1q1p3cq3hhcf
mouse_strain,C57BL
parameter_name,Transitional B Cells (CD21/35 low)
