analysis_id,k4zc6sn20igi014
pvalue,0.08548954
gene_symbol,Psd4
mouse_strain,C57BL
parameter_id,IMPC_IMM_004_002
mouse_life_stage,Early adult
gene_accession_id,MGI:2674093
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
