gene_symbol,Ppm1j
pvalue,0.8288501
mouse_life_stage,Early adult
gene_accession_id,MGI:1919137
mouse_strain,C57BL
analysis_id,72nb0qwf9435g2l
parameter_id,HMGULA_CBC_009_001
parameter_name,Calcium
