analysis_id,117t0ds8a808pw7
gene_accession_id,MGI:97838
pvalue,0.2532197
parameter_name,BMC/Body weight
gene_symbol,Eprs1
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_id,IMPC_DXA_007_001
