analysis_id,xh6e8220antoaz5
gene_symbol,Bach2
gene_accession_id,MGI:894679
pvalue,0.2210173
parameter_name,Platelet count
parameter_id,IMPC_HEM_008_001
mouse_life_stage,Early adult
mouse_strain,C57BL
