analysis_id,p4948679hy62o42
gene_accession_id,MGI:1917810
pvalue,0.3747816
parameter_name,Total NK cells - % of CD45+
Parameter_id,MGP_MLN_031_001
Mouse_life_stage,E12.5
mouse_strain,C57BL
gene_symbol,Wars2
