gene_symbol,Ddx27
parameter_id,IMPC_CBC_005_001
analysis_id,7qh964aou87535p
gene_accession_id,MGI:2385884
mouse_life_stage,Early adult
parameter_name,Creatinine
mouse_strain,C57BL
pvalue,0.7628031
