analysis_id,6gm0b59398uowv5
mouse_strain,C57BL
gene_accession_id,MGI:1921493
parameter_name,Lumbar processes
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_065_001
gene_symbol,Slx4ip
pvalue,0.6965238
