analysis_id,868687gtbph133r
parameter_id,MGP_IMM_073_001
pvalue,0.9967469
mouse_life_stage,Late adult
mouse_strain,C57BL
parameter_name,Effector CD4+ T helper cells - % of CD45+
gene_accession_id,MGI:1917604
gene_symbol,Secisbp2l
