analysis_id,g61j50a65f593z8
mouse_strain,C57BL
parameter_name,CD11b-low cDC - % of CD45+
gene_symbol,Trp53i11
parameter_id,MGP_IMM_130_001
mouse_life_stage,Early adult
pvalue,0.6997922
gene_accession_id,MGI:2670995
