analysis_id,p68rhs0hq4ql989
parameter_id,MGP_PBI_003_001
parameter_name,CD4+ alpha beta T cell percentage
pvalue,0.5943809
gene_symbol,Hpca
mouse_strain,C57BL
gene_accession_id,MGI:1336200
mouse_life_stage,Middle aged adult
