analysis_id,suw2k552991zjf2
mouse_strain,C57BL
pvalue,0.1863863
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_017_002
parameter_name,Pale yolk sac
gene_accession_id,MGI:1922745
gene_symbol,Morn5
