analysis_id,1b024hzk23831nn
parameter_id,IMPC_IMM_051_001
mouse_life_stage,Early adult
pvalue,0.8965856
gene_accession_id,MGI:2684980
mouse_strain,129SV
gene_symbol,Mms22l
parameter_name,Monocytes
