parameter_name,Ventral coat/hair presence
gene_symbol,Kcng1
gene_accession_id,MGI:3616086
parameter_id,MGP_CSD_025_001
analysis_id,gm5qv2aq99q38n4
pvalue,0.7164172
mouse_strain,C57BL
mouse_life_stage,Early adult
