analysis_id,c7801vnono5w591
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Periphery resting time
pvalue,0.9583737
gene_accession_id,MGI:1913396
parameter_id,ESLIM_007_001_007
gene_symbol,Maco1
