gene_symbol,Pld1
parameter_id,IMPC_CBC_025_001
mouse_strain,C57BL
pvalue,0.3804991
analysis_id,533d2e07cqwb7q4
parameter_name,LDL-cholesterol
mouse_life_stage,Early adult
gene_accession_id,MGI:109585
