analysis_id,bt8l084278lm0g9
gene_accession_id,MGI:95457
gene_symbol,Mecom
pvalue,0.5722849
mouse_strain,C3H
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_012_001
parameter_name,Periphery permanence time
