analysis_id,74ja073hg49o064
parameter_id,IMPC_DXA_002_001
parameter_name,Fat mass
gene_symbol,Traf6
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:108072
pvalue,0.8892426
