analysis_id,ioob023d3c2v9c8
gene_accession_id,MGI:1921493
gene_symbol,Slx4ip
mouse_strain,C57BL
parameter_name,% Pre-pulse inhibition - PPI2
mouse_life_stage,Early adult
pvalue,0.08137534
parameter_id,IMPC_ACS_034_001
