parameter_name,Total bilirubin
gene_symbol,Dcaf12
gene_accession_id,MGI:1916220
analysis_id,k0k42n125c10kt8
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_008_001
mouse_strain,C57BL
pvalue,0.08567482
