gene_symbol,Atf3
mouse_life_stage,Early adult
gene_accession_id,MGI:109384
analysis_id,xvk54koy4j83w5y
parameter_id,JAXLA_HBD_001_001
parameter_name,Total holepokes
mouse_strain,C50BL
pvalue,0.3106741
