parameter_name,Click-evoked ABR threshold
analysis_id,8te88i2xr7qx6vb
gene_symbol,Tox
parameter_id,IMPC_ABR_002_001
mouse_strain,C57BL
gene_accession_id,MGI:2181659
mouse_life_stage,Early adult
pvalue,7.799171e-05
