gene_symbol,Lurap1
parameter_id,IMPC_IMM_063_001
parameter_name,B Cells
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.6588662
gene_accession_id,MGI:1915325
analysis_id,9r53io254oytn64
