analysis_id,v62v2j6176md1lj
gene_accession_id,MGI:2446274
mouse_life_stage,Late adult
pvalue,0.6886261
parameter_id,IMPC_HEM_030_001
parameter_name,Neutrophil cell count
mouse_strain,C57BL
gene_symbol,Frmpd1
