gene_symbol,Tbl1xr1
pvalue,0.08241948
analysis_id,6er8ys66038q4tm
gene_accession_id,MGI:2441730
parameter_id,IMPC_IMM_063_001
mouse_life_stage,Early adult
parameter_name,B Cells
mouse_strain,C57BL
