parameter_name,Pericardium Morphology
mouse_life_stage,Early adult
gene_accession_id,MGI:1341628
gene_symbol,Atrn
pvalue,0.623851
mouse_strain,C57BL
analysis_id,b2w5wm2116ql4y7
parameter_id,IMPC_GEL_006_001
