analysis_id,c2r8jhdu6j4w26l
pvalue,0.413277
gene_symbol,Gpbp1l1
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_EYE_016_001
gene_accession_id,MGI:1924360
parameter_name,Lens
