gene_symbol,Trp53rkb
parameter_id,JAXLA_DXA_003_001
mouse_life_stage,Early adult
parameter_name,Lean mass
gene_accession_id,MGI:1914050
analysis_id,92w4g7620r1xak4
pvalue,0.8513806
mouse_strain,C57BL
