parameter_name,Vitreous
analysis_id,mfedya004a1h6uf
mouse_strain,C57BL
pvalue,0.9344723
gene_symbol,Slc39a10
mouse_life_stage,Early adult
gene_accession_id,MGI:1914515
parameter_id,UCDLA_EYE_083_001
