parameter_name,Aspartate aminotransferase
analysis_id,a17p582yq462mt1
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_012_001
gene_accession_id,MGI:1914309
pvalue,0.6231213
gene_symbol,Ola1
mouse_strain,C57BL
