analysis_id,cso05v799191i15
parameter_name,Haemoglobin
pvalue,0.5072692
mouse_strain,C57BL
parameter_id,ESLIM_016_001_003
gene_symbol,Arnt
gene_accession_id,MGI:88071
mouse_life_stage,Early adult
