gene_symbol,Nanp
mouse_life_stage,E18.5
analysis_id,8x326xa1v614gn8
gene_accession_id,MGI:1914561
mouse_strain,C57BL
parameter_name,Neutrophil cell count
pvalue,0.4538316
parameter_id,IMPC_HEM_030_001
