analysis_id,zq970hy5q577mz0
parameter_name,Body Weight
pvalue,0.3484516
gene_accession_id,MGI:1917810
gene_symbol,Wars2
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,M-G-P_012_001_005
