analysis_id,orxdq11sq24s6v5
mouse_strain,C57BL
parameter_name,Startle response
parameter_id,ESLIM_008_001_013
pvalue,0.3347688
gene_symbol,Nemp2
mouse_life_stage,Early adult
gene_accession_id,MGI:2444113
