gene_symbol,Hspa5
analysis_id,28loo40g2wqi43p
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_id,IMPC_ECG_008_001
parameter_name,ST
pvalue,0.5821524
gene_accession_id,MGI:95835
