analysis_id,1i996c71186ea45
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,ESLIM_011_001_702
gene_accession_id,MGI:1929242
parameter_name,Prepulse inhibition - PP2
gene_symbol,Ivd
pvalue,0.4685444
