gene_symbol,Gja10
parameter_id,IMPC_IMM_051_001
analysis_id,ob99y8g0yn906ih
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Monocytes
pvalue,0.6664496
gene_accession_id,MGI:1339969
