analysis_id,r05j5139wcl420d
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
pvalue,0.7933233
gene_symbol,Hpca
parameter_id,MGP_PBI_034_001
gene_accession_id,MGI:1336200
parameter_name,B cell number
