gene_symbol,Kif24
analysis_id,13v93j85uu1k37a
parameter_name,Body Weight
parameter_id,M-G-P_012_001_005
gene_accession_id,MGI:1918345
mouse_strain,C57BL
pvalue,0.8720716
mouse_life_stage,Early adult
