analysis_id,x530g9dmx326nww
pvalue,0.4719374
parameter_name,Alkaline phosphatase
mouse_life_stage,Early adult
gene_symbol,Ints7
gene_accession_id,MGI:1924315
parameter_id,HRWLLA_CBC_014_001
mouse_strain,C57BL
