gene_symbol,Trp53i11
gene_accession_id,MGI:2670995
pvalue,0.6723689
analysis_id,j9nej5869n92215
mouse_life_stage,Early adult
parameter_id,M-G-P_006_001_026
mouse_strain,C57BL
parameter_name,Fusion of vertebrae
