parameter_id,IMPC_CSD_030_001
mouse_life_stage,Early adult
parameter_name,Tremor
analysis_id,2757v2721zi8vp0
gene_accession_id,MGI:95576
mouse_strain,C57BL
pvalue,0.189302
gene_symbol,Fpgs
