analysis_id,51l6pnu06j6j433
mouse_life_stage,Early adult
pvalue,0.3402306
mouse_strain,129SV
gene_accession_id,MGI:99605
gene_symbol,Cntfr
parameter_name,Total NK cells - % of CD45+
parameter_id,MGP_IMM_033_001
